"","HUC","Stressor","simulation","dose","sys.cap"
"574","0401010502","StressorB","75",32.0000017775089,0.679999982224911
"575","0401010502","StressorB","76",31.9999996425141,0.680000003574859
"576","0401010502","StressorB","77",32.0000009364342,0.679999990635658
"577","0401010502","StressorB","78",32.0000007547532,0.679999992452468
"578","0401010502","StressorB","79",31.9999992922553,0.680000007077447
"579","0401010502","StressorB","8",32.0000024801969,0.679999975198031
"580","0401010502","StressorB","80",31.9999988192545,0.680000011807455
"581","0401010502","StressorB","81",31.9999997523118,0.680000002476882
"582","0401010502","StressorB","82",32.0000011635579,0.679999988364421
"583","0401010502","StressorB","83",31.9999989788301,0.680000010211699
"584","0401010502","StressorB","84",31.9999977309447,0.680000022690553
"585","0401010502","StressorB","85",32.000000252589,0.67999999747411
"586","0401010502","StressorB","86",31.9999983651579,0.680000016348421
"587","0401010502","StressorB","87",31.9999991028149,0.680000008971851
"588","0401010502","StressorB","88",32.0000004377114,0.679999995622886
