"","scenario","HUC","simulation","CE"
"275","base_unc",1701010203,75,0
"276","base_unc",1701010203,76,0
"277","base_unc",1701010203,77,0
"278","base_unc",1701010203,78,0
"279","base_unc",1701010203,79,0
"280","base_unc",1701010203,80,0
"281","base_unc",1701010203,81,0
"282","base_unc",1701010203,82,0
"283","base_unc",1701010203,83,0
"284","base_unc",1701010203,84,0
"285","base_unc",1701010203,85,0
"286","base_unc",1701010203,86,0
"287","base_unc",1701010203,87,0
"288","base_unc",1701010203,88,0
"289","base_unc",1701010203,89,0
"290","base_unc",1701010203,90,0
"291","base_unc",1701010203,91,0
"292","base_unc",1701010203,92,0
"293","base_unc",1701010203,93,0
"294","base_unc",1701010203,94,0
"295","base_unc",1701010203,95,0
"296","base_unc",1701010203,96,0
"297","base_unc",1701010203,97,0
"298","base_unc",1701010203,98,0
"299","base_unc",1701010203,99,0
"300","base_unc",1701010203,100,0
"301","base_unc",1701010204,1,0.0448935508667444
"302","base_unc",1701010204,2,0.1688698868493
"303","base_unc",1701010204,3,0.0188757246777399
"304","base_unc",1701010204,4,0.0884735827156482
"305","base_unc",1701010204,5,0.149716313284725
"306","base_unc",1701010204,6,0.0630668759935396
"307","base_unc",1701010204,7,0.107986578322738
"308","base_unc",1701010204,8,0.100918944771033
"309","base_unc",1701010204,9,0.117650264841295
"310","base_unc",1701010204,10,0.161014329421239
"311","base_unc",1701010204,11,0.303753446670457
"312","base_unc",1701010204,12,0.189163295399666
"313","base_unc",1701010204,13,0.177750272132648
"314","base_unc",1701010204,14,0.0357746122121077
"315","base_unc",1701010204,15,0.141373408763731
"316","base_unc",1701010204,16,0.137566738000895
"317","base_unc",1701010204,17,0.24287007968807
"318","base_unc",1701010204,18,0.116151263141607
"319","base_unc",1701010204,19,0.0880104101117792
"320","base_unc",1701010204,20,0.0238093081666061
"321","base_unc",1701010204,21,0.123852626962205
"322","base_unc",1701010204,22,0.0468703419181984
"323","base_unc",1701010204,23,0.185062138717239
"324","base_unc",1701010204,24,0.168014938523309
"325","base_unc",1701010204,25,0.212066787681578
"326","base_unc",1701010204,26,0.142328061968113
"327","base_unc",1701010204,27,0.0272921750617028
"328","base_unc",1701010204,28,0.0304715985721981
"329","base_unc",1701010204,29,0.10832238573238
"330","base_unc",1701010204,30,0.246156923871832
"331","base_unc",1701010204,31,0.119760454121001
"332","base_unc",1701010204,32,0.142235283637886
"333","base_unc",1701010204,33,0.0445081147579784
"334","base_unc",1701010204,34,0.0189905992203037
"335","base_unc",1701010204,35,0.0746452008820724
"336","base_unc",1701010204,36,0.0524971481394078
"337","base_unc",1701010204,37,0.112093463741002
"338","base_unc",1701010204,38,0.0576155767460194
"339","base_unc",1701010204,39,0.0968107583578966
"340","base_unc",1701010204,40,0.0196516495501158
